state       dE(eV)    f    H_1    E_1    H_2    E_2
----------------------------------------------------
S1          1.000      -  0.005  0.990  0.995  0.010
S2          2.000      -  0.011  0.995  0.989  0.005
S3          3.000      -  0.016  0.965  0.984  0.035
S4          4.000      -  0.950  0.963  0.050  0.037
S5          5.000      -  0.083  0.133  0.917  0.867
S6          6.000      -  0.966  0.982  0.034  0.018
S7          7.000      -  0.978  0.995  0.022  0.005
S8          8.000      -  0.989  0.997  0.011  0.003
S9          9.000      -  0.964  0.987  0.036  0.013
S10        10.000      -  0.978  0.994  0.022  0.006
S11        11.000      -  0.028  0.983  0.972  0.017
S12        12.000      -  0.992  0.997  0.008  0.003
S13        13.000      -  0.983  0.998  0.017  0.002
S14        14.000      -  0.572  0.994  0.428  0.006
S15        15.000      -  0.709  0.993  0.291  0.007
S16        16.000      -  0.923  0.996  0.077  0.004
S17        17.000      -  0.758  0.985  0.242  0.015
S18        18.000      -  0.985  0.998  0.015  0.002
S19        19.000      -  0.071  0.931  0.929  0.069
S20        20.000      -  0.938  0.989  0.062  0.011
S21        21.000      -  0.311  0.389  0.689  0.611
S22        22.000      -  0.680  0.719  0.320  0.281
S23        23.000      -  0.950  0.997  0.050  0.003
S24        24.000      -  0.714  0.987  0.286  0.013
S25        25.000      -  0.982  0.996  0.018  0.004
