state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
es_1        1.000      -  0.000  0.009  0.250  0.241  0.000  0.000
es_2        2.000      -  0.001  0.100  0.248  0.150  0.000  0.000
es_3        3.000      -  0.247  0.248  0.003  0.002  0.000  0.000
es_4        4.000      -  0.248  0.248  0.002  0.002  0.000  0.000
es_5        5.000      -  0.001  0.073  0.249  0.177  0.000  0.000
es_6        6.000      -  0.001  0.089  0.249  0.161  0.000  0.000
es_7        7.000      -  0.003  0.227  0.247  0.023  0.000  0.000
es_8        8.000      -  0.249  0.248  0.001  0.002  0.000  0.000
es_9        9.000      -  0.248  0.249  0.002  0.001  0.000  0.000
es_10      10.000      -  0.248  0.248  0.002  0.002  0.000  0.000
es_11      11.000      -  0.000  0.001  0.250  0.249  0.000  0.000
es_12      12.000      -  0.248  0.248  0.002  0.002  0.000  0.000
es_13      13.000      -  0.248  0.247  0.002  0.003  0.000  0.000
es_14      14.000      -  0.248  0.249  0.002  0.001  0.000  0.000
es_15      15.000      -  0.238  0.248  0.012  0.002  0.000  0.000
es_16      16.000      -  0.003  0.249  0.247  0.001  0.000  0.000
es_17      17.000      -  0.241  0.248  0.009  0.002  0.000  0.000
es_18      18.000      -  0.247  0.249  0.003  0.001  0.000  0.000
es_19      19.000      -  0.248  0.249  0.002  0.001  0.000  0.000
es_20      20.000      -  0.245  0.249  0.004  0.001  0.001  0.000
es_21      21.000      -  0.001  0.241  0.011  0.009  0.238  0.000
es_22      22.000      -  0.233  0.248  0.017  0.002  0.000  0.000
es_23      23.000      -  0.000  0.247  0.011  0.003  0.239  0.000
es_24      24.000      -  0.000  0.009  0.250  0.241  0.000  0.000
es_25      25.000      -  0.000  0.004  0.100  0.104  0.150  0.142
