state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
es_1        1.000      -  0.250  1.982  1.038  0.035  1.035 -0.035  1.080  1.483  4.660
es_2        2.000      -  0.250  1.799  1.469  0.395  1.323 -0.393  1.379  1.652  8.697
es_3        3.000      -  0.250  1.010  1.020  0.020  1.020 -0.002  1.135  1.533  4.691
es_4        4.000      -  0.250  1.009  1.018  0.015  1.015 -0.002  1.146  1.537  4.703
es_5        5.000      -  0.250  1.852  1.358  0.292  1.263 -0.291  1.992  1.718  7.915
es_6        6.000      -  0.250  1.821  1.430  0.353  1.303 -0.350  1.445  1.649  8.590
es_7        7.000      -  0.250  1.541  1.111  0.898  1.105 -0.898  1.056  1.471 12.148
es_8        8.000      -  0.250  1.006  1.012  0.011  1.011  0.004  1.140  1.535  4.673
es_9        9.000      -  0.250  1.006  1.012  0.011  1.011 -0.001  1.080  1.494  4.688
es_10      10.000      -  0.250  1.008  1.015  0.013  1.013 -0.002  1.282  1.613  4.654
es_11      11.000      -  0.250  1.996  1.008  0.004  1.004 -0.004  1.082  1.490  4.580
es_12      12.000      -  0.250  1.007  1.014  0.013  1.014 -0.000  1.489  1.684  4.746
es_13      13.000      -  0.250  1.010  1.020  0.018  1.018  0.001  1.362  1.654  4.788
es_14      14.000      -  0.250  1.007  1.014  0.014  1.014 -0.002  1.427  1.665  4.764
es_15      15.000      -  0.250  1.027  1.055  0.050  1.051 -0.041  2.183  1.786  4.782
es_16      16.000      -  0.250  1.497  1.016  0.985  1.016 -0.985  1.009  1.426 13.167
es_17      17.000      -  0.250  1.022  1.045  0.039  1.040 -0.028  2.164  1.783  4.849
es_18      18.000      -  0.250  1.008  1.017  0.016  1.016 -0.007  1.338  1.640  4.654
es_19      19.000      -  0.250  1.006  1.013  0.012  1.012 -0.006  1.179  1.567  4.692
es_20      20.000      -  0.250  1.014  1.024  0.023  1.023 -0.020  1.466  1.693  5.141
es_21      21.000      -  0.250  1.993  1.088  0.994  1.087 -1.911  1.009  1.425 29.918
es_22      22.000      -  0.250  1.037  1.080  0.071  1.072 -0.062  1.292  1.630  4.934
es_23      23.000      -  0.250  1.984  1.056  0.999  1.054 -1.946  1.000  1.415 30.125
es_24      24.000      -  0.250  1.983  1.038  0.035  1.035 -0.034  1.638  1.696  5.192
es_25      25.000      -  0.250  2.573  1.976  0.088  1.163 -0.049  2.522  1.954  6.689
